17:47:33 INFO  testCases.AccountOverviewTest - Clicking the Create new account number button
17:47:36 INFO  testCases.AccountOverviewTest - Validating the success message
17:47:36 INFO  testCases.AccountOverviewTest - Test is passed
17:47:36 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC008_verify_create_new_Acc *
17:47:36 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC009_verify_created_Acc_inThe_Overview *
17:47:36 INFO  testCases.AccountOverviewTest - Opening account overview
17:47:40 INFO  testCases.AccountOverviewTest - Verify the newly created acc no in the overview table
17:47:42 INFO  testCases.AccountOverviewTest - -->[2023-03-07/17:47:42] Finished test automation <--
17:50:20 INFO  testCases.AccountOverviewTest - -->[2023-03-07/17:50:20] Starting the test automation <--
17:50:27 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC007_verify_account_overview *
17:50:27 INFO  testCases.AccountOverviewTest - Registering new user
17:50:29 INFO  testCases.AccountOverviewTest - Opened account overview page
17:50:32 INFO  testCases.AccountOverviewTest - Validating the total balance
17:50:33 INFO  testCases.AccountOverviewTest - Test is passed
17:50:33 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC007_verify_account_overview *
17:50:33 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC008_verify_create_new_Acc *
17:50:33 INFO  testCases.AccountOverviewTest - Creating new account
17:50:36 INFO  testCases.AccountOverviewTest - Selected account type from the dropdown
17:50:39 INFO  testCases.AccountOverviewTest - Selected account number from the dropdown
17:50:39 INFO  testCases.AccountOverviewTest - Clicking the Create new account number button
17:50:42 INFO  testCases.AccountOverviewTest - Validating the success message
17:50:43 INFO  testCases.AccountOverviewTest - Test is passed
17:50:43 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC008_verify_create_new_Acc *
17:50:43 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC009_verify_created_Acc_inThe_Overview *
17:50:43 INFO  testCases.AccountOverviewTest - Opening account overview
17:50:46 INFO  testCases.AccountOverviewTest - Verify the newly created acc no in the overview table
17:50:48 INFO  testCases.AccountOverviewTest - -->[2023-03-07/17:50:48] Finished test automation <--
17:52:20 INFO  testCases.RegisterTest - -->[2023-03-07/17:52:20] Starting the test automation <--
17:52:28 INFO  testCases.RegisterTest - * Starting RegisterTest-TC001_verify_register_link *
17:52:29 INFO  testCases.RegisterTest - Clicked on Register link
17:52:29 INFO  testCases.RegisterTest - Validating the link
17:52:29 INFO  testCases.RegisterTest - Test is passed
17:52:29 INFO  testCases.RegisterTest - * finished RegisterTest-TC001_verify_register_link *
17:52:29 INFO  testCases.RegisterTest - * Starting RegisterTest-TC004_verify_signUp_functionality *
17:52:29 INFO  testCases.RegisterTest - Filling the fields
17:52:30 INFO  testCases.RegisterTest - Username entering
17:52:30 INFO  testCases.RegisterTest - Password entering
17:52:35 INFO  testCases.RegisterTest - Register button clicking
17:52:35 INFO  testCases.RegisterTest - Validating the register function
17:52:35 INFO  testCases.RegisterTest - Loging out
17:52:36 INFO  testCases.RegisterTest - Test is passed
17:52:36 INFO  testCases.RegisterTest - * finished RegisterTest-TC004_verify_signUp_functionality *
17:52:37 INFO  testCases.RegisterTest - -->[2023-03-07/17:52:37] Finished test automation <--
17:52:37 INFO  testCases.LoginTest - -->[2023-03-07/17:52:37] Starting the test automation <--
17:52:43 INFO  testCases.LoginTest - * Starting LoginTest-TC005_verify_login_with_valid_data *
17:52:43 INFO  testCases.LoginTest - Entering username
17:52:43 INFO  testCases.LoginTest - Entering password
17:52:43 INFO  testCases.LoginTest - Clicking the login button
17:52:44 INFO  testCases.LoginTest - Validating the login functionality
17:52:44 INFO  testCases.LoginTest - Test is passed
17:52:44 INFO  testCases.LoginTest - * finished LoginTest-TC005_verify_login_with_valid_data *
17:52:45 INFO  testCases.LoginTest - -->[2023-03-07/17:52:45] Finished test automation <--
17:52:45 INFO  testCases.AccountOverviewTest - -->[2023-03-07/17:52:45] Starting the test automation <--
17:52:52 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC007_verify_account_overview *
17:52:52 INFO  testCases.AccountOverviewTest - Registering new user
17:52:55 INFO  testCases.AccountOverviewTest - Opened account overview page
17:52:58 INFO  testCases.AccountOverviewTest - Validating the total balance
17:52:58 INFO  testCases.AccountOverviewTest - Test is passed
17:52:58 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC007_verify_account_overview *
17:52:58 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC008_verify_create_new_Acc *
17:52:58 INFO  testCases.AccountOverviewTest - Creating new account
17:53:02 INFO  testCases.AccountOverviewTest - Selected account type from the dropdown
17:53:05 INFO  testCases.AccountOverviewTest - Selected account number from the dropdown
17:53:05 INFO  testCases.AccountOverviewTest - Clicking the Create new account number button
